"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:0002038","positive regulation of L-glutamate import across plasma membrane","BP",1,0,0,1,1
"GO:0007175","negative regulation of epidermal growth factor-activated receptor activity","BP",6,0,0,1,1
"GO:0015871","choline transport","BP",3,0,0,1,1
"GO:0021870","Cajal-Retzius cell differentiation","BP",1,0,0,1,1
"GO:1904797","negative regulation of core promoter binding","BP",1,0,0,1,1
"GO:0110097","regulation of calcium import into the mitochondrion","BP",1,0,0,1,1
"GO:1990456","mitochondrion-endoplasmic reticulum membrane tethering","BP",1,0,0,1,1
"GO:0002481","antigen processing and presentation of exogenous protein antigen via MHC class Ib, TAP-dependent","BP",1,0,0,1,1
"GO:0071283","cellular response to iron(III) ion","BP",2,0,0,1,1
"GO:0002152","bile acid conjugation","BP",1,0,0,1,1
"GO:0043921","modulation by host of viral transcription","BP",1,0,0,1,1
"GO:0070682","proteasome regulatory particle assembly","BP",3,0,0,1,1
"GO:0019050","suppression by virus of host apoptotic process","BP",3,0,0,1,1
"GO:0046687","response to chromate","BP",1,0,0,1,1
"GO:0071247","cellular response to chromate","BP",1,0,0,1,1
"GO:1902220","positive regulation of intrinsic apoptotic signaling pathway in response to osmotic stress","BP",1,0,0,1,1
"GO:1904700","granulosa cell apoptotic process","BP",2,0,0,1,1
"GO:1904708","regulation of granulosa cell apoptotic process","BP",2,0,0,1,1
"GO:1904710","positive regulation of granulosa cell apoptotic process","BP",1,0,0,1,1
"GO:0071258","cellular response to gravity","BP",1,0,0,1,1
"GO:1904298","regulation of transcytosis","BP",1,0,0,1,1
"GO:1904300","positive regulation of transcytosis","BP",1,0,0,1,1
"GO:1904301","regulation of maternal process involved in parturition","BP",1,0,0,1,1
"GO:1904303","positive regulation of maternal process involved in parturition","BP",1,0,0,1,1
"GO:1904316","response to 2-O-acetyl-1-O-hexadecyl-sn-glycero-3-phosphocholine","BP",1,0,0,1,1
"GO:1904317","cellular response to 2-O-acetyl-1-O-hexadecyl-sn-glycero-3-phosphocholine","BP",1,0,0,1,1
"GO:0021997","neural plate axis specification","BP",1,0,0,1,1
"GO:0051548","negative regulation of keratinocyte migration","BP",1,0,0,1,1
"GO:0090069","regulation of ribosome biogenesis","BP",1,0,0,1,1
"GO:0090071","negative regulation of ribosome biogenesis","BP",1,0,0,1,1
"GO:1903690","negative regulation of wound healing, spreading of epidermal cells","BP",1,0,0,1,1
"GO:2000808","negative regulation of synaptic vesicle clustering","BP",1,0,0,1,1
"GO:1904344","regulation of gastric mucosal blood circulation","BP",1,0,0,1,1
"GO:1904346","positive regulation of gastric mucosal blood circulation","BP",1,0,0,1,1
"GO:1990768","gastric mucosal blood circulation","BP",1,0,0,1,1
"GO:0033624","negative regulation of integrin activation","BP",2,0,0,1,1
"GO:0072682","eosinophil extravasation","BP",1,0,0,1,1
"GO:2000419","regulation of eosinophil extravasation","BP",1,0,0,1,1
"GO:2000420","negative regulation of eosinophil extravasation","BP",1,0,0,1,1
"GO:0014905","myoblast fusion involved in skeletal muscle regeneration","BP",3,0,0,1,1
"GO:1900158","negative regulation of bone mineralization involved in bone maturation","BP",1,0,0,1,1
"GO:0010335","response to non-ionic osmotic stress","BP",1,0,0,1,1
"GO:0032227","negative regulation of synaptic transmission, dopaminergic","BP",3,0,0,1,1
"GO:0071471","cellular response to non-ionic osmotic stress","BP",1,0,0,1,1
"GO:0090360","platelet-derived growth factor production","BP",2,0,0,1,1
"GO:0090361","regulation of platelet-derived growth factor production","BP",2,0,0,1,1
"GO:0090362","positive regulation of platelet-derived growth factor production","BP",2,0,0,1,1
"GO:0061181","regulation of chondrocyte development","BP",2,0,0,1,1
"GO:0061182","negative regulation of chondrocyte development","BP",1,0,0,1,1
"GO:0031289","actin phosphorylation","BP",1,0,0,1,1
"GO:0043538","regulation of actin phosphorylation","BP",1,0,0,1,1
"GO:0043932","ossification involved in bone remodeling","BP",4,0,0,1,1
"GO:1904373","response to kainic acid","BP",1,0,0,1,1
"GO:1904389","rod bipolar cell differentiation","BP",1,0,0,1,1
"GO:1904391","response to ciliary neurotrophic factor","BP",1,0,0,1,1
"GO:1904397","negative regulation of neuromuscular junction development","BP",2,0,0,1,1
"GO:0070104","negative regulation of interleukin-6-mediated signaling pathway","BP",1,0,0,1,1
"GO:1902205","regulation of interleukin-2-mediated signaling pathway","BP",1,0,0,1,1
"GO:1902206","negative regulation of interleukin-2-mediated signaling pathway","BP",1,0,0,1,1
"GO:1902214","regulation of interleukin-4-mediated signaling pathway","BP",1,0,0,1,1
"GO:1902215","negative regulation of interleukin-4-mediated signaling pathway","BP",1,0,0,1,1
"GO:1902227","negative regulation of macrophage colony-stimulating factor signaling pathway","BP",1,0,0,1,1
"GO:1902232","regulation of positive thymic T cell selection","BP",2,0,0,1,1
"GO:1902233","negative regulation of positive thymic T cell selection","BP",1,0,0,1,1
"GO:1903970","negative regulation of response to macrophage colony-stimulating factor","BP",1,0,0,1,1
"GO:1903973","negative regulation of cellular response to macrophage colony-stimulating factor stimulus","BP",1,0,0,1,1
"GO:0033277","abortive mitotic cell cycle","BP",2,0,0,1,1
"GO:0002339","B cell selection","BP",3,0,0,1,1
"GO:0002352","B cell negative selection","BP",2,0,0,1,1
"GO:1902262","apoptotic process involved in blood vessel morphogenesis","BP",3,0,0,1,1
"GO:0051463","negative regulation of cortisol secretion","BP",1,0,0,1,1
"GO:0060125","negative regulation of growth hormone secretion","BP",2,0,0,1,1
"GO:1903615","positive regulation of protein tyrosine phosphatase activity","BP",2,0,0,1,1
"GO:2000471","regulation of hematopoietic stem cell migration","BP",1,0,0,1,1
"GO:2000473","positive regulation of hematopoietic stem cell migration","BP",1,0,0,1,1
"GO:0061792","secretory granule maturation","BP",3,0,0,1,1
"GO:1904692","positive regulation of type B pancreatic cell proliferation","BP",2,0,0,1,1
"GO:1990502","dense core granule maturation","BP",2,0,0,1,1
"GO:0036058","filtration diaphragm assembly","BP",1,0,0,1,1
"GO:0036060","slit diaphragm assembly","BP",1,0,0,1,1
"GO:0090260","negative regulation of retinal ganglion cell axon guidance","BP",2,0,0,1,1
"GO:0034164","negative regulation of toll-like receptor 9 signaling pathway","BP",1,0,0,1,1
"GO:0002358","B cell homeostatic proliferation","BP",2,0,0,1,1
"GO:0006808","regulation of nitrogen utilization","BP",3,0,0,1,1
"GO:0032976","release of matrix enzymes from mitochondria","BP",1,0,0,1,1
"GO:0060057","apoptotic process involved in mammary gland involution","BP",2,0,0,1,1
"GO:0060058","positive regulation of apoptotic process involved in mammary gland involution","BP",2,0,0,1,1
"GO:1903519","regulation of mammary gland involution","BP",2,0,0,1,1
"GO:1903521","positive regulation of mammary gland involution","BP",2,0,0,1,1
"GO:1990117","B cell receptor apoptotic signaling pathway","BP",1,0,0,1,1
"GO:0051598","meiotic recombination checkpoint","BP",2,0,0,1,1
"GO:0060370","susceptibility to T cell mediated cytotoxicity","BP",2,0,0,1,1
"GO:0046814","coreceptor-mediated virion attachment to host cell","BP",1,0,0,1,1
"GO:0045046","protein import into peroxisome membrane","BP",4,0,0,1,1
"GO:1900130","regulation of lipid binding","BP",1,0,0,1,1
"GO:1900131","negative regulation of lipid binding","BP",1,0,0,1,1
"GO:0003352","regulation of cilium movement","BP",4,1,0,0.0198800959872448,1
"GO:0003356","regulation of cilium beat frequency","BP",4,1,0,0.0198800959872448,1
"GO:0007288","sperm axoneme assembly","BP",3,1,0,0.014946606537516,1
"GO:0060295","regulation of cilium movement involved in cell motility","BP",3,1,0,0.014946606537516,1
"GO:0060296","regulation of cilium beat frequency involved in ciliary motility","BP",3,1,0,0.014946606537516,1
"GO:0006592","ornithine biosynthetic process","BP",1,0,0,1,1
"GO:0060613","fat pad development","BP",3,0,0,1,1
"GO:0097499","protein localization to non-motile cilium","BP",3,0,0,1,1
"GO:1903546","protein localization to photoreceptor outer segment","BP",3,0,0,1,1
"GO:0006425","glutaminyl-tRNA aminoacylation","BP",1,0,0,1,1
"GO:0009082","branched-chain amino acid biosynthetic process","BP",2,0,0,1,1
"GO:0009098","leucine biosynthetic process","BP",2,0,0,1,1
"GO:0009099","valine biosynthetic process","BP",2,0,0,1,1
"GO:0032484","Ral protein signal transduction","BP",2,0,0,1,1
"GO:0032485","regulation of Ral protein signal transduction","BP",2,0,0,1,1
"GO:0045054","constitutive secretory pathway","BP",3,0,0,1,1
"GO:0061670","evoked neurotransmitter secretion","BP",1,0,0,1,1
"GO:0018125","peptidyl-cysteine methylation","BP",3,0,0,1,1
"GO:2000286","receptor internalization involved in canonical Wnt signaling pathway","BP",2,0,0,1,1
"GO:0034498","early endosome to Golgi transport","BP",5,0,0,1,1
"GO:0044795","trans-Golgi network to recycling endosome transport","BP",1,0,0,1,1
"GO:1903433","regulation of constitutive secretory pathway","BP",1,0,0,1,1
"GO:1903435","positive regulation of constitutive secretory pathway","BP",1,0,0,1,1
"GO:0032707","negative regulation of interleukin-23 production","BP",2,0,0,1,1
"GO:1902231","positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage","BP",4,0,0,1,1
"GO:0072757","cellular response to camptothecin","BP",3,0,0,1,1
"GO:1902298","cell cycle DNA replication maintenance of fidelity","BP",2,0,0,1,1
"GO:1990426","mitotic recombination-dependent replication fork processing","BP",2,0,0,1,1
"GO:1990505","mitotic DNA replication maintenance of fidelity","BP",2,0,0,1,1
"GO:0007066","female meiosis sister chromatid cohesion","BP",1,0,0,1,1
"GO:0010792","DNA double-strand break processing involved in repair via single-strand annealing","BP",2,0,0,1,1
"GO:2000819","regulation of nucleotide-excision repair","BP",2,0,0,1,1
"GO:0001927","exocyst assembly","BP",1,0,0,1,1
"GO:0001928","regulation of exocyst assembly","BP",1,0,0,1,1
"GO:0060178","regulation of exocyst localization","BP",1,0,0,1,1
"GO:0106020","regulation of vesicle docking","BP",3,0,0,1,1
"GO:0046448","tropane alkaloid metabolic process","BP",1,0,0,1,1
"GO:0050783","cocaine metabolic process","BP",1,0,0,1,1
"GO:0035281","pre-miRNA export from nucleus","BP",1,0,0,1,1
"GO:0046604","positive regulation of mitotic centrosome separation","BP",1,0,0,1,1
"GO:1903697","negative regulation of microvillus assembly","BP",1,0,0,1,1
"GO:1900073","regulation of neuromuscular synaptic transmission","BP",1,0,0,1,1
"GO:1900075","positive regulation of neuromuscular synaptic transmission","BP",1,0,0,1,1
"GO:0060010","Sertoli cell fate commitment","BP",1,0,0,1,1
"GO:0003415","chondrocyte hypertrophy","BP",3,0,0,1,1
"GO:0003430","growth plate cartilage chondrocyte growth","BP",2,0,0,1,1
"GO:0003431","growth plate cartilage chondrocyte development","BP",2,0,0,1,1
"GO:0006420","arginyl-tRNA aminoacylation","BP",1,0,0,1,1
"GO:0061760","antifungal innate immune response","BP",1,0,0,1,1
"GO:0031134","sister chromatid biorientation","BP",1,0,0,1,1
"GO:0045842","positive regulation of mitotic metaphase/anaphase transition","BP",4,0,0,1,1
"GO:0071921","cohesin loading","BP",1,0,0,1,1
"GO:0071922","regulation of cohesin loading","BP",1,0,0,1,1
"GO:1901970","positive regulation of mitotic sister chromatid separation","BP",4,0,0,1,1
"GO:1902101","positive regulation of metaphase/anaphase transition of cell cycle","BP",4,0,0,1,1
"GO:1904028","positive regulation of collagen fibril organization","BP",1,0,0,1,1
"GO:1904761","negative regulation of myofibroblast differentiation","BP",1,0,0,1,1
"GO:1905634","regulation of protein localization to chromatin","BP",1,0,0,1,1
"GO:0031064","negative regulation of histone deacetylation","BP",3,0,0,1,1
"GO:0150066","negative regulation of deacetylase activity","BP",1,0,0,1,1
"GO:1901726","negative regulation of histone deacetylase activity","BP",1,0,0,1,1
"GO:0000320","re-entry into mitotic cell cycle","BP",2,0,0,1,1
"GO:0034633","retinol transport","BP",1,0,0,1,1
"GO:0046864","isoprenoid transport","BP",1,0,0,1,1
"GO:0046865","terpenoid transport","BP",1,0,0,1,1
"GO:0060157","urinary bladder development","BP",3,0,0,1,1
"GO:0032848","negative regulation of cellular pH reduction","BP",1,0,0,1,1
"GO:0043375","CD8-positive, alpha-beta T cell lineage commitment","BP",1,0,0,1,1
"GO:0046671","negative regulation of retinal cell programmed cell death","BP",1,0,0,1,1
"GO:0032487","regulation of Rap protein signal transduction","BP",4,0,0,1,1
"GO:1903392","negative regulation of adherens junction organization","BP",3,0,0,1,1
"GO:0000733","DNA strand renaturation","BP",6,0,0,1,1
"GO:1903492","response to acetylsalicylate","BP",1,0,0,1,1
"GO:1904697","regulation of acinar cell proliferation","BP",1,0,0,1,1
"GO:1904699","positive regulation of acinar cell proliferation","BP",1,0,0,1,1
"GO:1990798","pancreas regeneration","BP",1,0,0,1,1
"GO:1990863","acinar cell proliferation","BP",1,0,0,1,1
"GO:1990864","response to growth hormone-releasing hormone","BP",1,0,0,1,1
"GO:1990867","response to gastrin","BP",1,0,0,1,1
"GO:1990878","cellular response to gastrin","BP",1,0,0,1,1
"GO:0006117","acetaldehyde metabolic process","BP",1,0,0,1,1
"GO:0014038","regulation of Schwann cell differentiation","BP",2,0,0,1,1
"GO:0014040","positive regulation of Schwann cell differentiation","BP",1,0,0,1,1
"GO:0071224","cellular response to peptidoglycan","BP",2,0,0,1,1
"GO:0006050","mannosamine metabolic process","BP",1,0,0,1,1
"GO:0006051","N-acetylmannosamine metabolic process","BP",1,0,0,1,1
"GO:0000294","nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay","BP",1,0,0,1,1
"GO:1905453","regulation of myeloid progenitor cell differentiation","BP",1,0,0,1,1
"GO:1905454","negative regulation of myeloid progenitor cell differentiation","BP",1,0,0,1,1
"GO:0032345","negative regulation of aldosterone metabolic process","BP",3,0,0,1,1
"GO:0032348","negative regulation of aldosterone biosynthetic process","BP",3,0,0,1,1
"GO:0097086","amniotic stem cell differentiation","BP",1,0,0,1,1
"GO:2000065","negative regulation of cortisol biosynthetic process","BP",3,0,0,1,1
"GO:2000706","negative regulation of dense core granule biogenesis","BP",1,0,0,1,1
"GO:2000740","negative regulation of mesenchymal stem cell differentiation","BP",1,0,0,1,1
"GO:2000797","regulation of amniotic stem cell differentiation","BP",1,0,0,1,1
"GO:2000798","negative regulation of amniotic stem cell differentiation","BP",1,0,0,1,1
"GO:0090618","DNA clamp unloading","BP",1,0,0,1,1
"GO:1900262","regulation of DNA-directed DNA polymerase activity","BP",4,0,0,1,1
"GO:1900264","positive regulation of DNA-directed DNA polymerase activity","BP",4,0,0,1,1
"GO:2001272","positive regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis","BP",2,0,0,1,1
"GO:0060287","epithelial cilium movement involved in determination of left/right asymmetry","BP",3,0,0,1,1
"GO:0021914","negative regulation of smoothened signaling pathway involved in ventral spinal cord patterning","BP",2,0,0,1,1
"GO:0015816","glycine transport","BP",4,0,0,1,1
"GO:0071877","regulation of adenylate cyclase-inhibiting adrenergic receptor signaling pathway","BP",1,0,0,1,1
"GO:0086096","adenylate cyclase-inhibiting adrenergic receptor signaling pathway involved in heart process","BP",1,0,0,1,1
"GO:0140193","regulation of adenylate cyclase-inhibiting adrenergic receptor signaling pathway involved in heart process","BP",1,0,0,1,1
"GO:0140194","negative regulation of adenylate cyclase-inhibiting adrenergic receptor signaling pathway involved in heart process","BP",1,0,0,1,1
"GO:1900923","regulation of glycine import across plasma membrane","BP",2,0,0,1,1
"GO:1900924","negative regulation of glycine import across plasma membrane","BP",2,0,0,1,1
"GO:1903804","glycine import across plasma membrane","BP",3,0,0,1,1
"GO:0051620","norepinephrine uptake","BP",4,0,0,1,1
"GO:0051621","regulation of norepinephrine uptake","BP",2,0,0,1,1
"GO:0051623","positive regulation of norepinephrine uptake","BP",1,0,0,1,1
"GO:0072749","cellular response to cytochalasin B","BP",1,0,0,1,1
"GO:1901328","response to cytochalasin B","BP",1,0,0,1,1
"GO:0016037","light absorption","BP",1,0,0,1,1
"GO:0016038","absorption of visible light","BP",1,0,0,1,1
"GO:0015074","DNA integration","BP",5,0,0,1,1
